标题,户型,户型1,房屋面积,楼层,小区,租赁类型,朝向,轨道交通,租金,地区
房东自住装修，近北新泾，西郊百联，采光好，随时看房，有钥匙,2室,2厅,75平米,3/6层,虹园一村,整租,朝南,2号线,6000,changning安居客
房位置好 家电齐全 拎包入住 精装修 看了就相中,3室,1厅,20平米,14/26层,钻石公寓,合租,东南,10号线,1360,changning安居客
精装修 热水 沐浴 家具齐全 免费无线网 电梯房,1室,1厅,35平米,25/30层,通协小区,整租,东南,2号线,2840,changning安居客
定西路小吃一条街、近交大地铁站、生活舒适方便、值得拥有,1室,1厅,37平米,3/6层,定西路420弄公房,整租,朝南,3/4/10号线,4200,changning安居客
钥匙房，视野阳光畅达，双车位，俯瞰花园，精装带地暖，管家服务,4室,2厅,246平米,16/32层,仁恒河滨花园,整租,朝南,2号线,22000,changning安居客
近地铁站，配套齐全，服务好，随时带看，毕业季租房,1室,1厅,33平米,22/29层,通协小区,整租,东南,2号线,2520,changning安居客
|真实豪装|新出租、地暖，飘窗，车位、采光好,3室,2厅,193平米,4/17层,华丽家族古北花园,整租,南北,10号线,28000,changning安居客
品质小区，带会所游泳池，全南大2房，看房方便，价可谈,2室,2厅,108平米,24/28层,今日丽园,整租,朝南,无,10500,changning安居客
出门不带钥匙，让你的包包足够放化妆品、，智能门锁你放心,1室,1厅,22平米,7/25层,天山三村,整租,东南,2号线,2410,changning安居客
入住减免2300 颜控福利 颜控福利 高颜值北欧风精装,1室,1厅,29平米,11/28层,圣美邸,整租,东南,10号线,2060,changning安居客
房位置好 家电齐全 拎包入住 精装修 看了就相中,3室,1厅,18平米,20/32层,虹桥机场新村,合租,东南,10号线,1450,changning安居客
百年国宾道、高品质花园小区、新华世纪园、闹中取静、值得拥有,3室,2厅,156平米,12/21层,新华世纪园,整租,南北,3/4号线,13500,changning安居客
中山公园愚园路749弄近地铁站小区采光好，南北通透，随时看,3室,1厅,27平米,17/21层,愚园路749弄小区,合租,朝南,2/11号线,2240,changning安居客
家具家电全齐 拎包即住 低楼层 新房装修出租 先到先得,3室,1厅,21平米,23/25层,威宁大楼,合租,东南,2号线,1150,changning安居客
紧靠地铁口，高区视野，钥匙房，全装全配，拎包入住，先到先得！,2室,1厅,105平米,3/14层,宜嘉坊,整租,南北,2号线,8000,changning安居客
蛋壳公寓别和好房擦肩而过 房源实拍 捡漏了！,1室,1厅,28平米,7/25层,春天花园,整租,东南,2号线,2180,changning安居客
中山公园 虹桥世家花园精装修两房两厅 1/2/3/4,2室,2厅,100平米,22/32层,虹桥世家花园,整租,朝南,2/3/4号线,9000,changning安居客
有钥匙，老业主委托，全装全配，临10号线，业主自住装修,1室,2厅,75平米,7/9层,古北嘉年华庭(南区),整租,朝南,10号线,8500,changning安居客
（主营租赁）路易凯旋宫 全南全明两房 房型正气 保养好,2室,2厅,98平米,8/23层,路易凯旋宫,整租,朝南,2/3/4号线,13500,changning安居客
《急》《南北对流》《两房朝南》《精装全配》《拎包入住》,2室,2厅,121平米,11/19层,金色贝拉维,整租,南北,10号线,18000,changning安居客
小区房源，安静舒适家具齐全，服务周到，住得放心,1室,1厅,29平米,9/24层,新梅泉苑,整租,东南,3/4号线,2910,changning安居客
如此好房 期待有缘人 真实照片 钥匙在手 随时可看 全屋地暖,2室,2厅,130平米,6/11层,雅典花苑,整租,南北,10号线,17000,changning安居客
江湾镇锦苑好房出租，家具齐全，装修小清新，随时看房,3室,1厅,53平米,23/31层,锦苑,整租,朝南,10号线,3390,changning安居客
二号线淞虹路 新泾七村 两房一厅 采光好 随时可看,2室,1厅,68平米,3/6层,新泾七村,整租,南北,2号线,5600,changning安居客
精装全配，生活便利，多房源可供挑选，随时带看,1室,1厅,29平米,23/29层,虹桥机场新村,整租,东南,10号线,2030,changning安居客
诚意出租，精装舒适，家电齐全离地铁站近，适合上班族,1室,1厅,26平米,16/30层,虹日小区,整租,东南,10号线,2040,changning安居客
超近3号4号延安西路地铁站精装大一房！降价租！拎包入住！,1室,1厅,56平米,4/6层,法华镇路878弄小区,整租,朝南,3/4号线,5800,changning安居客
主营小区古北嘉年华庭 户型好，精装价格超值，随时看房，急急急,1室,2厅,70平米,7/9层,古北嘉年华庭(南区),整租,南北,10号线,8000,changning安居客
世纪之春花园6楼 单身公寓 租房立减200 看房随时 有钥匙,1室,1厅,40平米,8/17层,世纪之春花园,整租,朝南,2号线,3600,changning安居客
名宅新境界、咫尺地铁口、俯瞰花园、全南全明、精装带地暖、急租,2室,2厅,117平米,10/21层,新天地河滨花园,整租,南北,2号线,10000,changning安居客
北新泾通协交通便利，家电齐全 可整租可合租,1室,1厅,31平米,22/24层,通协小区,整租,东南,2号线,2740,changning安居客
小清新单间，整洁舒适家具齐全，离地铁站很近,3室,1厅,17平米,16/25层,古北新苑,合租,东南,10号线,1090,changning安居客
虹桥路虹日蛋壳公寓  高颜值北欧风精装 温馨社区氛围,3室,1厅,16平米,22/32层,虹日小区,整租,东南,10号线,1530,changning安居客
蛋壳公寓 超享受！全新配置  一人一锁 安全巡查,3室,1厅,19平米,13/27层,雅典花苑,合租,东南,10号线,1210,changning安居客
F/急租 、精装一房、宜家风格、全明户型、钻石楼层、随时看房,1室,1厅,46平米,3/6层,文汇小区,整租,南北,2/3/4号线,4000,changning安居客
精致装修，温暖舒适周边配套设施齐全室友也都十分友好哦,3室,1厅,16平米,18/29层,天山怡景苑,合租,东南,2号线,1880,changning安居客
中山公园海厦交通便利，家电齐全 可整租可合租,3室,1厅,16平米,19/31层,海厦小区,合租,东南,3/4号线,1480,changning安居客
8号楼2013年豪宅+时尚居家装修+全屋地暖+无敌景观,4室,2厅,230平米,22/36层,中星美华邨(公寓),整租,朝南,3/4/10号线,30000,changning安居客
双气房 朝南户型 采光好 精装修 家具家电齐全 拎包入住,1室,1厅,29平米,15/24层,春天花园,整租,东南,2号线,2390,changning安居客
浅色系装修，宜家风格，实木地板，有车位，地铁300米看房方便,2室,2厅,97平米,16/18层,中山公寓,整租,南北,2/3/4号线,11000,changning安居客
自住豪装 保养如新 看房都方便 合租也行 起租随时 价可谈,2室,2厅,103平米,16/26层,圣约翰名邸,整租,朝南,2/3/4号线,12500,changning安居客
古北古北嘉年华庭精装电梯房，高品质服务，家具齐全，随时带看,3室,1厅,53平米,17/28层,古北嘉年华庭(北区),整租,朝南,10号线,3030,changning安居客
蛋壳公寓别和好房擦肩而过 房源实拍 捡漏了！,3室,1厅,20平米,20/26层,新华路445弄小区,合租,东南,无,1010,changning安居客
南北通透 采光好 地段 环境优美 交通便利 方便出行,1室,1厅,27平米,12/24层,虹桥机场新村,整租,东南,10号线,2050,changning安居客
朝南大次卧大阳台带电梯  阳光充足 干净卫生 免费看房,1室,1厅,26平米,4/27层,宝华紫薇花园,整租,东南,2号线,2090,changning安居客
小区房源，安静舒适家具齐全，服务周到，住得放心,3室,1厅,30平米,25/30层,黄浦新苑(西区),合租,东南,8/9号线,2910,huangpu安居客
联兴大厦打浦桥楼层 干净整洁 精装修家具家电齐全 交通便利,3室,1厅,29平米,18/28层,联兴大厦,合租,朝南,9/12号线,2290,huangpu安居客
黄浦区2018年新小区 大三房 全装全配 高品质小区 管家式,3室,2厅,155平米,21/25层,海珀黄浦,整租,朝南,4/8/9号线,25000,huangpu安居客
阳光自在空间  宽敞自我天地  妆点雅致生活,3室,1厅,18平米,6/29层,局后小区,整租,东南,9/13号线,1170,huangpu安居客
福州大楼，外滩旁边， 福州大楼精装修住房出租 全屋地暖,2室,2厅,88平米,26/32层,福州大楼,整租,朝南,2/10号线,9500,huangpu安居客
大两房，一梯两户，繁华地段，采光充足,2室,2厅,111平米,13/24层,上海滩新昌城,整租,南北,1/12/13号线,14300,huangpu安居客
老西门大吉小区精装修 欧洲现代风格 拎包入住,3室,1厅,23平米,15/27层,大吉小区,合租,朝南,8/9/10号线,2200,huangpu安居客
新出房源 精装全配 采光楼层 临近地铁 看房方便 随时入住,1室,1厅,42平米,4/6层,唐家宅小区,整租,朝南,4/8/13号线,4500,huangpu安居客
畅你所想，双周给你一个新家，蛋壳公寓双周保洁让你呼吸新鲜空气,1室,1厅,25平米,19/32层,露香园,整租,东南,8/10号线,2300,huangpu安居客
精装舒适，家电齐全性价比高，适合刚毕业年轻人,1室,1厅,23平米,9/26层,蒙西小区,整租,东南,9/13号线,2300,huangpu安居客
精装全配，生活便利，多房源可供挑选，随时带看,3室,1厅,20平米,19/27层,思南新苑,合租,东南,9/13号线,1130,huangpu安居客
蛋壳公寓 让生存变成生活 全新配置  一人一锁,3室,1厅,20平米,15/21层,海悦花园,整租,东南,4号线,1750,huangpu安居客
蛋壳公寓入找房终结者 极速免费宽带，游戏畅玩,3室,1厅,16平米,21/33层,永业公寓,合租,东南,9/13号线,1420,huangpu安居客
楼层 干净整洁 精装修家具家电齐全 交通便利,1室,1厅,22平米,23/28层,河畔明珠,整租,东南,8/12号线,2450,huangpu安居客
人民广场平和里公寓精装修 欧洲现代风格 拎包入住,1室,1厅,21平米,21/24层,平和里公寓,整租,东南,1/2/8/13号线,2330,huangpu安居客
蛋壳公寓 全新配置房子可以租，生活不能将就！,3室,1厅,18平米,8/27层,锦麟天地雅苑,合租,东南,1/10/13号线,1330,huangpu安居客
驰骋小区，精装朝南带阳台！地铁4/8号线西藏南路站，品质住宅,2室,1厅,60平米,13/28层,驰骋小区,整租,朝南,4/8号线,6500,huangpu安居客
日月光伯爵居，精装朝南带阳台！地铁9号线打浦桥站，品质住宅！,3室,1厅,32平米,23/30层,日月光伯爵居,整租,朝南,9号线,4200,huangpu安居客
精致装修，温暖舒适周边配套设施齐全室友也都十分友好哦,3室,1厅,22平米,20/31层,中福城一期,整租,东南,1/2/8号线,1910,huangpu安居客
新天地马当精装修 欧洲现代风格 拎包入住,3室,1厅,18平米,16/29层,马当小区,整租,东南,9/10/13号线,1760,huangpu安居客
翠湖天地隽荟都+房东直租+居家良品+高品质电梯房+品质豪宅,1室,2厅,65平米,26/30层,翠湖天地隽荟都,整租,朝南,8/10/13号线,9000,huangpu安居客
打浦桥双钱公寓小清新单间，整洁舒适家具齐全，离地铁站很近,3室,1厅,17平米,20/25层,双钱公寓,合租,东南,9号线,1010,huangpu安居客
悦来小区小南门地铁口2房精装房子干净整洁配套齐全拎包入住,2室,1厅,75平米,5/7层,悦来小区,整租,朝南,9号线,5900,huangpu安居客
蛋壳公寓直租 押一付一  房间实拍 独立卫浴,3室,1厅,20平米,12/22层,金色家园,合租,东南,1/8/12/13号线,1700,huangpu安居客
入住减免2300 颜控福利 房源实拍精装主卧 爱干净星人福利,3室,1厅,16平米,21/25层,开元坊,合租,东南,8/9号线,1430,huangpu安居客
南北通透 采光好 地段 环境优美 交通便利 方便出行,3室,1厅,75平米,15/28层,建国西路130弄小区,整租,东南,9号线,4510,huangpu安居客
蛋壳公寓 颜控福利 伴随着阳光起床 做精致女孩！,3室,1厅,20平米,20/33层,董家渡路450弄小区,合租,东南,4/9号线,1400,huangpu安居客
主营！9月新推！随时入住 固定车位 地暖 头次出租！随时看,2室,2厅,132平米,26/29层,淡水湾花园(二期),整租,南北,9/10/13号线,12000,huangpu安居客
合租蛋壳公寓 蛋壳公寓直租 押一付一  近地铁站 配套齐全,3室,1厅,16平米,16/30层,海悦花园,合租,东南,4号线,1150,huangpu安居客
永业公寓+现代装修+家具齐全+拎包入住+品质小资生活,2室,2厅,120平米,16/20层,永业公寓,整租,朝南,9/13号线,16000,huangpu安居客
五里桥华丽家族汇景天地交通便利，家电齐全，可整租可合租,3室,1厅,19平米,17/30层,华丽家族汇景天地(公寓),整租,东南,4/13号线,1130,huangpu安居客
南京东路中福城一期交通便利，家电齐全 可整租可合租,3室,1厅,54平米,16/28层,中福城一期,整租,朝南,1/2/8号线,3270,huangpu安居客
出租 全明户型 有钥匙 随时住 两房 家具家电齐全,3室,1厅,55平米,9/30层,上海滩新昌城,整租,朝南,1/12/13号线,4560,huangpu安居客
近地铁站，配套齐全，服务好，随时带看，毕业季租房,1室,1厅,29平米,11/31层,上海别墅,整租,东南,1/13号线,2080,huangpu安居客
新天地梅兰坊住蛋壳 豪华装修近地铁 出入无需带钥匙,3室,1厅,18平米,13/30层,梅兰坊小区,合租,东南,10/13号线,1420,huangpu安居客
钥匙房随时看，境外业主急租，配置全套家具家电，拎包即可入住,3室,2厅,238平米,7/35层,翠湖天地嘉苑,整租,南北,1/10/13号线,52000,huangpu安居客
五里桥蒙自路601弄小区好房出租 环境优美 贴心管家 速速来,1室,1厅,30平米,12/26层,蒙自路601弄小区,整租,东南,13号线,2500,huangpu安居客
日月光伯爵居，打浦桥地铁口，田子坊旁边。高区豪装2房，急租，,2室,2厅,120平米,15/23层,日月光伯爵居,整租,朝南,9号线,17000,huangpu安居客
专做租房 让您省心放心 大两房豪华装修 就在日月光中心,2室,2厅,110平米,18/30层,思南新苑,整租,南北,9/13号线,11000,huangpu安居客
人民广场长发大厦住蛋壳 豪华装修近地铁 出入无需带钥匙,3室,1厅,19平米,9/23层,长发大厦,合租,东南,2号线,1420,huangpu安居客
人民广场好房出租 住的舒心 贴心管家 优惠多多,3室,1厅,59平米,18/29层,鸿福里,整租,朝南,1/2/8/12号线,3710,huangpu安居客
（居家装修）（钥匙房）（随时看）（带车位）,3室,2厅,165平米,19/31层,翠湖天地雅苑,整租,南北,8/10/13号线,25000,huangpu安居客
中福城+简约风格1房2厅+人民广场、房东出国急租+拎包入住！,1室,2厅,79平米,16/32层,中福城三期北楼,整租,朝南,1/2/8号线,7200,huangpu安居客
文元坊近地铁站，适合上班精装豪配，随时看房,1室,1厅,29平米,9/24层,文元坊(绍兴路),整租,东南,无,2370,huangpu安居客
汇龙新城，大四房出租，采光充足，客厅朝南北通，房型正气,4室,2厅,200平米,1/6层,汇龙新城,整租,朝南,9/13号线,22000,huangpu安居客
紧邻西藏南路站4/8号轨交，黄浦华庭精装一室户，拎包入住,1室,1厅,40平米,16/20层,黄浦华庭,整租,朝南,4/8号线,6500,huangpu安居客
制造局路西藏南路，1千二百平办公，单价3块5包物业、停车方便,9室,9厅,1200平米,1/2层,西凌新邨,整租,朝南,4/8号线,127750,huangpu安居客
和时间赛跑，赶地铁，住蛋壳公寓，出门左右拐就到地铁站,1室,1厅,22平米,19/26层,翠湖天地御苑,整租,东南,8/10/13号线,2080,huangpu安居客
老西门六角大楼好房出租 入住好礼 免费宽带 随时带看,3室,1厅,50平米,11/24层,六角大楼,整租,朝南,8/9号线,3300,huangpu安居客
百年外滩+全屋地暖+高区江景+带产权车位随时看,3室,3厅,286平米,26/31层,绿城黄浦湾,整租,朝南,9号线,28000,huangpu安居客
房位置好 家电齐全 拎包入住 精装修 看了就相中,3室,1厅,19平米,21/26层,永厦大楼,合租,东南,4/8号线,1400,huangpu安居客
和时间赛跑，赶地铁，住蛋壳公寓，出门左右拐就到地铁站,3室,1厅,19平米,11/32层,德玛公寓,合租,东南,9/12号线,1140,huangpu安居客
人民广场上海滩新昌城小区房源 入住好礼 欧式装修 随时带看,3室,1厅,59平米,26/27层,上海滩新昌城,整租,朝南,1/12/13号线,4780,huangpu安居客
五里桥丽园新村好房出租 入住好礼 素质舍友 优惠多多,1室,1厅,30平米,15/28层,丽园新村,整租,东南,4/8号线,2890,huangpu安居客
独门独户 配套成熟 近489 地铁  拎包入住,1室,1厅,45平米,3/6层,丽园新村,整租,南北,4/8号线,3800,huangpu安居客
五里桥蒙自路601弄小区精致装修，家电全配，交通便利适合白,1室,1厅,28平米,9/29层,蒙自路601弄小区,整租,东南,13号线,2000,huangpu安居客
翠湖搂王大平层，高层装修豪华，做过二次装修全屋地暖，随时可看,4室,2厅,292平米,26/33层,翠湖天地御苑,整租,南北,8/10/13号线,85000,huangpu安居客
（复兴珑御 ）2室140平，挑高客厅 宽敞大气，卧室搭配好,2室,2厅,140平米,15/31层,复兴珑御,整租,南北,8/10号线,22000,huangpu安居客
豫园黄浦众鑫城南北通透 好格局 地段 急租,1室,1厅,23平米,22/25层,黄浦众鑫城,整租,东南,8/10号线,2130,huangpu安居客
新天地巴卡拉东苑好房出租 环境优美 贴心管家 速速来电,3室,1厅,50平米,9/29层,巴卡拉东苑,整租,朝南,1/8/10号线,3350,huangpu安居客
徐泾上海捷克住宅小区舒适两房 干净整洁 急租 拎包入住,1室,1厅,23平米,19/26层,上海捷克住宅小区(别墅),整租,东南,无,2490,qingpu安居客
家具家电全齐 拎包即住  新房装修出租 先到先得,1室,1厅,32平米,17/24层,二联馨苑,整租,东南,2/17号线,2540,qingpu安居客
徐泾招商虹桥华府舒适两房 干净整洁 急租 拎包入住,3室,1厅,15平米,18/25层,招商虹桥华府,合租,东南,无,1360,qingpu安居客
留水园 靠17号地铁站、近八字桥菜场、周边配套成熟,2室,2厅,80平米,2/6层,留水园,整租,朝南,17号线,2600,qingpu安居客
小区房源，安静舒适家具齐全，服务周到，住得放心,3室,1厅,16平米,22/29层,二联馨苑,合租,东南,2/17号线,1050,qingpu安居客
华新绿地逸湾近地铁站小区采光好，南北通透，随时看房,3室,1厅,18平米,8/28层,绿地逸湾,整租,东南,无,1660,qingpu安居客
"绿中海豪装全配3房,有钥匙,随时看房,先到先得",3室,2厅,115平米,11/12层,绿中海明苑,整租,南北,17号线,6000,qingpu安居客
华新虹桥宝龙城好房出租 环境优美 贴心管家 速速来电,3室,1厅,18平米,23/30层,虹桥宝龙广场,整租,东南,无,1540,qingpu安居客
出门不带钥匙，让你的包包足够放化妆品、，智能门锁让你放心,3室,1厅,18平米,6/27层,虹桥宝龙广场,合租,东南,无,1120,qingpu安居客
徐泾徐泾北城欣沁苑住蛋壳，豪华装修近地铁，出入无需带钥匙,3室,1厅,19平米,22/29层,徐泾北城欣沁苑,整租,东南,17号线,1860,qingpu安居客
正气3房阳光充足空气清晰，上班族这里看，可拎包入住，有钥匙,3室,1厅,92平米,11/18层,崧泽华城德康雅苑,整租,南北,无,2650,qingpu安居客
虹桥宝龙城急租，近地铁站，适合上班族精装全配，长租更优惠,3室,1厅,16平米,10/26层,虹桥宝龙广场,整租,东南,无,1670,qingpu安居客
老客户委托 381号 258平 5房 可以办公 钥匙房,5室,2厅,258平米,1/2层,久事西郊花园,整租,西南,2号线,18000,qingpu安居客
精装修 拎包入住 省钱省心 交通便利 购物方便,1室,1厅,23平米,23/28层,圣地维拉,整租,东南,无,2460,qingpu安居客
靠17就好地铁站 靠宝龙广场 精装修拎包入住 看房随时,2室,2厅,78平米,12/18层,崧泽华城佳福雅苑,整租,朝南,17号线,3000,qingpu安居客
有中介的公寓？out啦！蛋壳公寓无中介精装主卧随时看房,3室,1厅,64平米,20/28层,徐泾北城馨浦苑(东区),整租,朝南,17号线,3390,qingpu安居客
联排边套采光好位置佳，近200万装修自住仅3年，工作调动诚租,4室,3厅,240平米,1/3层,新虹桥君悦湾,整租,南北,无,11000,qingpu安居客
2号线地铁口！大虹桥核心区域！独栋别墅 拎包入住 随时看房,5室,2厅,320平米,1/3层,久事西郊花园,整租,南北,2号线,18000,qingpu安居客
贺桥公寓 精装2房2厅1卫 景观楼层 采光好 全新家具家电。,2室,2厅,96平米,11/17层,贺桥公寓,整租,南北,17号线,3000,qingpu安居客
虹桥机场旁：精装别墅4房1.1万，近德法学校+蒙特梭利学校,4室,2厅,181平米,1/3层,招商虹桥华府,整租,南北,无,11000,qingpu安居客
急租，近地铁站，适合上班族精装全配，长租更优惠,1室,1厅,23平米,9/25层,青筑雅苑(公寓),整租,东南,无,2400,qingpu安居客
双气房 朝南户型 采光好 精装修 家具家电齐全 拎包入住,3室,1厅,17平米,8/24层,大豪山林别墅,整租,东南,17号线,1170,qingpu安居客
现代华庭 精装三房 照片实拍 房东急租 随时看房,3室,2厅,120平米,1/6层,现代华庭(一期公寓),整租,南北,无,3600,qingpu安居客
蛋壳公寓 别和好房擦肩而过  找房终结者！,3室,1厅,18平米,15/23层,陆象小区,合租,东南,无,1470,qingpu安居客
17号线地铁口500米，豪华装修，全屋中空地暖，随时看房！,4室,2厅,181平米,1/2层,绿中海明苑,整租,南北,17号线,9000,qingpu安居客
近地铁站小区，精装舒适，在这里遇见更多新朋友,1室,1厅,22平米,5/20层,夏都融庭,整租,东南,无,2250,qingpu安居客
精装修 拎包入住 省钱省心 交通便利 购物方便,3室,1厅,15平米,22/30层,徐泾北城欣沁苑东苑,整租,东南,17号线,1110,qingpu安居客
华新三友星墅香樟苑近地铁站小区采光好，南北通透，随时看房,3室,1厅,20平米,10/28层,三友星墅香樟苑(公寓),合租,东南,无,1170,qingpu安居客
急租，近地铁站，适合上班族精装全配，长租更优惠,3室,1厅,18平米,9/29层,徐泾北城馨浦苑(东区),合租,东南,17号线,1120,qingpu安居客
青浦新城仁恒运杰河滨花园舒适两房 干净整洁 急租 拎包入住,3室,1厅,20平米,13/26层,仁恒运杰河滨花园(一期别墅),合租,东南,无,1260,qingpu安居客
青浦新城梦丹苑精装修 欧洲现代风格 拎包入住,1室,1厅,26平米,10/23层,梦丹苑,整租,东南,17号线,2340,qingpu安居客
崧泽绿地青湖轩 环境优美 出小区步行50米就是公交站台,2室,2厅,72平米,5/16层,青湖轩,整租,朝南,无,2750,qingpu安居客
新城盛景 温馨舒适一居室 紧靠17号线汇金站 家具家电齐全,1室,1厅,55平米,3/5层,新城盛景B区,整租,南北,17号线,1900,qingpu安居客
金地天御 还在为租房犹豫的客户请向这边看过来,4室,2厅,189平米,4/8层,金地天御(公寓),整租,朝南,无,15000,qingpu安居客
房主诚意出租，干净清爽，配套设施齐全，看房随时,3室,1厅,18平米,7/27层,仁恒西郊花园,整租,东南,17号线,1360,qingpu安居客
近西华学校的森林式高品质独栋，小区外籍租客众多，适合家庭居住,5室,2厅,340平米,1/3层,圣堡别墅,整租,朝南,无,30000,qingpu安居客
家具家电全齐 拎包即住  新房装修出租 先到先得,1室,1厅,24平米,26/33层,盈浦公寓,整租,东南,17号线,2010,qingpu安居客
贺桥公寓 温馨2房，世纪联华港隆国际旁边，配套成熟 交通便利,2室,2厅,98平米,7/18层,贺桥公寓,整租,南北,17号线,2800,qingpu安居客
清河湾佳苑.精装修，欧式风格，家电全配。随时拎包入住交通便利,2室,2厅,85平米,17/18层,清河湾佳苑(二期),整租,南北,17号线,2700,qingpu安居客
五浦汇2房精装 大房东的房子 装修不错 看房随时,2室,2厅,80平米,12/18层,五浦汇崧子苑,整租,朝南,17号线,2700,qingpu安居客
崧涵庭3房精装 大房东首 次出租 靠近汇金路站 宝龙广场,3室,2厅,112平米,5/17层,崧涵庭,整租,朝南,无,3700,qingpu安居客
青浦新城盈浦公寓好房出租，家具齐全，装修小清新，随时看房,1室,1厅,20平米,5/24层,盈浦公寓,整租,东南,17号线,2280,qingpu安居客
精装舒适，家电齐全性价比高，适合刚毕业年轻人,3室,1厅,19平米,9/23层,贺桥公寓,合租,东南,17号线,1430,qingpu安居客
青浦新城西部花苑二区绿谷馨都近地铁站小区，精装舒适，在这里遇,3室,1厅,19平米,19/23层,西部花苑二区绿谷馨都,合租,东南,17号线,1410,qingpu安居客
徐泾徐泾北城馨浦苑蛋壳公寓直租 押一付一  交通便利拎包即住,3室,1厅,15平米,19/33层,徐泾北城馨浦苑(东区),合租,东南,17号线,1370,qingpu安居客
闹中取静 双南户型 小房子也有大风景 经典单身公寓,3室,1厅,17平米,20/27层,新大洲干部楼,合租,东南,无,1470,qingpu安居客
上班累很辛苦？回我们的家 蛋壳公寓给你不一样的爱,3室,1厅,15平米,23/26层,盈中新村,整租,东南,17号线,1340,qingpu安居客
逸泰雅苑一房精装出租，全新家具，欢迎来电,1室,1厅,54平米,18/18层,崧泽华城逸泰雅苑,整租,西南,17号线,2600,qingpu安居客
香花桥清河湾佳苑好房出租 入住好礼 素质舍友 优惠多多,3室,1厅,24平米,7/22层,清河湾佳苑(二期),整租,东南,17号线,1700,qingpu安居客
徐泾急租，近地铁站，适合上班族精装全配，长租更优惠,3室,1厅,23平米,10/31层,西郊家园,合租,东南,2/17号线,1860,qingpu安居客
民乐佳苑3房 靠近地铁 富绅时代广场 周边配套成熟 看房随时,3室,1厅,93平米,4/6层,民乐佳苑一区,整租,朝南,17号线,3000,qingpu安居客
青浦新城万寿新村三区南北通透 好格局 地段 急租,1室,1厅,25平米,16/25层,万寿新村三区,整租,东南,17号线,2170,qingpu安居客
徐泾徐泾北城馨浦苑南北通透 好格局 地段 急租,3室,1厅,21平米,21/32层,徐泾北城馨浦苑(西区),合租,东南,17号线,1620,qingpu安居客
紧邻17号线，开发商精装修三房，房子空置，随时看房,3室,2厅,127平米,8/20层,仁恒西郊花园,整租,朝南,17号线,10800,qingpu安居客
徐泾仁恒西郊花园蛋壳公寓  高颜值北欧风精装 温馨社区氛围,3室,1厅,20平米,21/27层,仁恒西郊花园,整租,东南,17号线,1810,qingpu安居客
精装修 欧洲现代风格 拎包入住,3室,1厅,20平米,10/27层,城东新村一区,整租,东南,17号线,1200,qingpu安居客
奥特莱斯对面|珠江悦公馆|精装1室1厅75平|朝南|好房出租,1室,1厅,75平米,16/18层,珠江悦公馆,整租,朝南,无,3200,qingpu安居客
汇金路站精装温馨一房 交通便利近17号线 配套齐全 拎包入住,1室,1厅,61平米,2/6层,宜达新居,整租,南北,17号线,2600,qingpu安居客
上班累很辛苦？回我们的家 蛋壳公寓给你不一样的爱,3室,1厅,23平米,9/28层,招商虹桥华府,整租,东南,无,1720,qingpu安居客
朝南大次卧大阳台带电梯  阳光充足 干净卫生 免费看房,3室,1厅,19平米,20/27层,民乐佳苑二区,合租,东南,17号线,1100,qingpu安居客
"三林新村,11号地铁三林站,电梯房,绿化好,楼层佳,采光好!",3室,1厅,73平米,12/28层,三林新村,整租,朝南,11号线,5000,pudong安居客
三房两位+近云山站精装修+全装全配+金桥国际商业广场,3室,2厅,146平米,6/11层,黄山新城上海未来,整租,朝南,6号线,9000,pudong安居客
御桥 地杰国际城E欧泊时光 3室厅2卫 南,3室,0厅,14平米,18/23层,地杰国际城E欧泊时光,合租,朝南,11号线,2260,pudong安居客
前滩一号上叠别墅：近惠灵顿学校，看房方便，实图实价带地下车位,4室,3厅,245平米,3/4层,合生时代锦苑(合生前滩1号),整租,南北,6/8/11号线,33000,pudong安居客
近2号线东昌路 9号线商城路 八佰伴 九六广场 环境优美,2室,1厅,80平米,6/26层,东园三村,整租,朝南,2/4/9号线,7800,pudong安居客
F/急租、老业主委托、精装一房，随时看房、近锦绣路站,1室,1厅,45平米,2/6层,紫叶花园,整租,南北,7号线,3500,pudong安居客
在这里 您总能找到一个属于您的温馨的家，钥匙在手，可领包住,2室,1厅,55平米,3/6层,栖山小区,整租,朝南,6号线,4900,pudong安居客
铂庭俱进家园 精装三房 带中央空调 有钥匙随时看房 拎包入住,3室,2厅,134平米,11/18层,铂庭俱进家园,整租,南北,无,6500,pudong安居客
全新配置双南两房、看房方便、靠近大型商场拥有四条线的世纪大道,2室,1厅,63平米,3/6层,梅园四街坊,整租,朝南,2/4/6/9号线,7300,pudong安居客
蛋壳公寓直租 押一付一  房间实拍 独立卫浴,3室,1厅,21平米,10/26层,碧云金悦,合租,东南,9号线,1180,pudong安居客
实习生的福利 经济实惠 独立厨卫 近长泰广场 张江高科软件园,1室,1厅,33平米,8/16层,申城佳苑一期B块,整租,朝南,无,1000,pudong安居客
康桥康庭苑交通便利 家电齐全 可整租可合租,3室,1厅,15平米,16/20层,康庭苑,合租,东南,11号线,1650,pudong安居客
入住减免2300 颜控福利 房源实拍精装主卧 爱干净星人福利,3室,1厅,17平米,18/23层,石笋一村,合租,东南,无,1440,pudong安居客
拎包即可入住，干净整洁的公寓住所，座的你都挑不出来毛病,3室,1厅,19平米,16/21层,瑞达苑,合租,东南,2号线,1780,pudong安居客
